Unnamed: 0,incident_county,incident_acres_burned,incident_longitude,incident_latitude,incident_url,incident_dateonly_extinguished,incident_dateonly_created,geometry,index,Air max,Bulb wet,County,Date,ETo,Evap,Precip,RH max,Soil max,Solar,Wind dir,Wx,dry,Air min,Soil min,RH min,obs,speed,type
584,Siskiyou,19,-122.645079,40.703775,https://www.fire.ca.gov/incidents/2017/6/26/king-fire/,2018-01-09,2017-06-26,POINT (-122.645079 40.703775),1637,84.4,,Siskiyou,2017-06-26,0.28,,0.004,97.0,70.0,684.0,0.0,,,47.0,67.0,23.0,,0.0,
585,San Luis Obispo,1598,-120.4992,35.4025,https://www.fire.ca.gov/incidents/2017/6/26/hill-fire/,2018-01-09,2017-06-26,POINT (-120.4992 35.4025),1637,83.14285714285714,,San Luis Obispo,2017-06-26,0.23,,0.008571428571428572,95.75,71.0,679.0,0.0,,,48.42857142857143,68.25,43.25,,0.0,
586,Sacramento,35,-120.92162,38.45822,https://www.fire.ca.gov/incidents/2017/6/27/latrobe-fire/,2018-01-09,2017-06-27,POINT (-120.92162 38.45822),1638,85.66666666666667,,Sacramento,2017-06-27,0.2525,,0.0,88.33333333333331,80.0,745.6,0.0,,,57.66666666666666,74.0,41.5,,0.0,
587,Marin,38,-122.65749,37.9775,https://www.fire.ca.gov/incidents/2017/6/27/pine-fire/,2018-01-09,2017-06-27,POINT (-122.65749 37.9775),1638,70.5,,Marin,2017-06-27,0.2,,0.0,92.0,74.5,707.5,0.0,,,51.5,72.0,52.0,,0.0,
588,San Diego,25,-116.8516,32.7789,https://www.fire.ca.gov/incidents/2017/6/27/sloane-fire/,2018-01-09,2017-06-27,POINT (-116.8516 32.7789),1638,90.85714285714286,,San Diego,2017-06-27,0.2716666666666667,,0.004285714285714286,79.0,82.6,704.8333333333335,0.0,,,60.42857142857143,72.8,30.8,,0.0,
589,San Bernardino,670,-117.17813,34.14575,https://www.fire.ca.gov/incidents/2017/6/27/mart-fire/,2018-01-09,2017-06-27,POINT (-117.17813 34.14575),1638,98.25,,San Bernardino,2017-06-27,0.32,,0.0025,61.0,66.66666666666667,758.25,0.0,,,64.25,64.0,11.666666666666664,,0.0,
590,Del Norte,28,-124.19629,41.93323,https://www.fire.ca.gov/incidents/2017/6/26/shore-fire/,2018-01-09,2017-06-26,POINT (-124.19629 41.93323),1637,65.0,,Del Norte,2017-06-26,,,0.03,,,,,,,50.0,,,,,
591,Santa Clara,85,-121.71752,37.3344,https://www.fire.ca.gov/incidents/2017/6/29/ranch-fire/,2018-01-09,2017-06-29,POINT (-121.71752 37.3344),1640,80.33333333333333,,Santa Clara,2017-06-29,0.2,,0.0033333333333333327,95.0,71.0,593.0,0.0,,,53.0,68.0,48.0,,0.0,
592,Monterey,15,-120.87492,35.947,https://www.fire.ca.gov/incidents/2017/6/28/alvarado-fire/,2018-01-09,2017-06-28,POINT (-120.87492 35.947),1639,70.45454545454545,,Monterey,2017-06-28,0.17166666666666666,,0.004545454545454546,97.14285714285714,70.75,543.375,0.0,,,53.81818181818182,68.375,67.14285714285714,,0.0,
593,Modoc,562,-121.29581,41.85763,https://www.fire.ca.gov/incidents/2017/6/28/battle-fire/,2018-01-09,2017-06-28,POINT (-121.29581 41.85763),1639,80.0,,Modoc,2017-06-28,0.25,,0.0,88.0,70.0,674.0,0.0,,,44.0,67.0,24.0,,0.0,
